,0
0,AOS
1,ABT
2,ABBV
3,ACN
4,ATVI
5,ADM
6,ADBE
7,ADP
8,AES
9,AFL
10,A
11,APD
12,AKAM
13,ALK
14,ALB
15,ARE
16,ALGN
17,ALLE
18,LNT
19,ALL
20,GOOGL
21,GOOG
22,MO
23,AMZN
24,AMCR
25,AMD
26,AEE
27,AAL
28,AEP
29,AXP
30,AIG
31,AMT
32,AWK
33,AMP
34,AME
35,AMGN
36,APH
37,ADI
38,ANSS
39,AON
40,APA
41,AAPL
42,AMAT
43,APTV
44,ACGL
45,ANET
46,AJG
47,AIZ
48,T
49,ATO
50,ADSK
51,AZO
52,AVB
53,AVY
54,AXON
55,BKR
56,BALL
57,BAC
58,BBWI
59,BAX
60,BDX
61,WRB
62,BRK.B
63,BBY
64,BIO
65,TECH
66,BIIB
67,BLK
68,BK
69,BA
70,BKNG
71,BWA
72,BXP
73,BSX
74,BMY
75,AVGO
76,BR
77,BRO
78,BF.B
79,BG
80,CHRW
81,CDNS
82,CZR
83,CPT
84,CPB
85,COF
86,CAH
87,KMX
88,CCL
89,CARR
90,CTLT
91,CAT
92,CBOE
93,CBRE
94,CDW
95,CE
96,COR
97,CNC
98,CNP
99,CDAY
100,CF
101,CRL
102,SCHW
103,CHTR
104,CVX
105,CMG
106,CB
107,CHD
108,CI
109,CINF
110,CTAS
111,CSCO
112,C
113,CFG
114,CLX
115,CME
116,CMS
117,KO
118,CTSH
119,CL
120,CMCSA
121,CMA
122,CAG
123,COP
124,ED
125,STZ
126,CEG
127,COO
128,CPRT
129,GLW
130,CTVA
131,CSGP
132,COST
133,CTRA
134,CCI
135,CSX
136,CMI
137,CVS
138,DHI
139,DHR
140,DRI
141,DVA
142,DE
143,DAL
144,XRAY
145,DVN
146,DXCM
147,FANG
148,DLR
149,DFS
150,DIS
151,DG
152,DLTR
153,D
154,DPZ
155,DOV
156,DOW
157,DTE
158,DUK
159,DD
160,DXC
161,EMN
162,ETN
163,EBAY
164,ECL
165,EIX
166,EW
167,EA
168,ELV
169,LLY
170,EMR
171,ENPH
172,ETR
173,EOG
174,EPAM
175,EQT
176,EFX
177,EQIX
178,EQR
179,ESS
180,EL
181,ETSY
182,EG
183,EVRG
184,ES
185,EXC
186,EXPE
187,EXPD
188,EXR
189,XOM
190,FFIV
191,FDS
192,FICO
193,FAST
194,FRT
195,FDX
196,FITB
197,FSLR
198,FE
199,FIS
200,FI
201,FLT
202,FMC
203,F
204,FTNT
205,FTV
206,FOXA
207,FOX
208,BEN
209,FCX
210,GRMN
211,IT
212,GEHC
213,GEN
214,GNRC
215,GD
216,GE
217,GIS
218,GM
219,GPC
220,GILD
221,GL
222,GPN
223,GS
224,HAL
225,HIG
226,HAS
227,HCA
228,PEAK
229,HSIC
230,HSY
231,HES
232,HPE
233,HLT
234,HOLX
235,HD
236,HON
237,HRL
238,HST
239,HWM
240,HPQ
241,HUM
242,HBAN
243,HII
244,IBM
245,IEX
246,IDXX
247,ITW
248,ILMN
249,INCY
250,IR
251,PODD
252,INTC
253,ICE
254,IFF
255,IP
256,IPG
257,INTU
258,ISRG
259,IVZ
260,INVH
261,IQV
262,IRM
263,JBHT
264,JKHY
265,J
266,JNJ
267,JCI
268,JPM
269,JNPR
270,K
271,KVUE
272,KDP
273,KEY
274,KEYS
275,KMB
276,KIM
277,KMI
278,KLAC
279,KHC
280,KR
281,LHX
282,LH
283,LRCX
284,LW
285,LVS
286,LDOS
287,LEN
288,LNC
289,LIN
290,LYV
291,LKQ
292,LMT
293,L
294,LOW
295,LYB
296,MTB
297,MRO
298,MPC
299,MKTX
300,MAR
301,MMC
302,MLM
303,MAS
304,MA
305,MTCH
306,MKC
307,MCD
308,MCK
309,MDT
310,MRK
311,META
312,MET
313,MTD
314,MGM
315,MCHP
316,MU
317,MSFT
318,MAA
319,MRNA
320,MHK
321,MOH
322,TAP
323,MDLZ
324,MPWR
325,MNST
326,MCO
327,MS
328,MOS
329,MSI
330,MSCI
331,NDAQ
332,NTAP
333,NFLX
334,NWL
335,NEM
336,NWSA
337,NWS
338,NEE
339,NKE
340,NI
341,NDSN
342,NSC
343,NTRS
344,NOC
345,NCLH
346,NRG
347,NUE
348,NVDA
349,NVR
350,NXPI
351,ORLY
352,OXY
353,ODFL
354,OMC
355,ON
356,OKE
357,ORCL
358,OGN
359,OTIS
360,PCAR
361,PKG
362,PANW
363,PARA
364,PH
365,PAYX
366,PAYC
367,PYPL
368,PNR
369,PEP
370,PFE
371,PCG
372,PM
373,PSX
374,PNW
375,PXD
376,PNC
377,POOL
378,PPG
379,PPL
380,PFG
381,PG
382,PGR
383,PLD
384,PRU
385,PEG
386,PTC
387,PSA
388,PHM
389,QRVO
390,PWR
391,QCOM
392,DGX
393,RL
394,RJF
395,RTX
396,O
397,REG
398,REGN
399,RF
400,RSG
401,RMD
402,RVTY
403,RHI
404,ROK
405,ROL
406,ROP
407,ROST
408,RCL
409,SPGI
410,CRM
411,SBAC
412,SLB
413,STX
414,SEE
415,SRE
416,NOW
417,SHW
418,SPG
419,SWKS
420,SJM
421,SNA
422,SEDG
423,SO
424,LUV
425,SWK
426,SBUX
427,STT
428,STLD
429,STE
430,SYK
431,SYF
432,SNPS
433,SYY
434,TMUS
435,TROW
436,TTWO
437,TPR
438,TRGP
439,TGT
440,TEL
441,TDY
442,TFX
443,TER
444,TSLA
445,TXN
446,TXT
447,TMO
448,TJX
449,TSCO
450,TT
451,TDG
452,TRV
453,TRMB
454,TFC
455,TYL
456,TSN
457,USB
458,UDR
459,ULTA
460,UNP
461,UAL
462,UPS
463,URI
464,UNH
465,UHS
466,VLO
467,VTR
468,VRSN
469,VRSK
470,VZ
471,VRTX
472,VFC
473,VTRS
474,VICI
475,V
476,VMC
477,WAB
478,WBA
479,WMT
480,WBD
481,WM
482,WAT
483,WEC
484,WFC
485,WELL
486,WST
487,WDC
488,WRK
489,WY
490,WHR
491,WMB
492,WTW
493,GWW
494,WYNN
495,XEL
496,XYL
497,YUM
498,ZBRA
499,ZBH
500,ZION
501,ZTS
